cleaned_text	lemm_text
Они должны быть где-то здесь...	они должный гдеть здесь
Здесь! Что происходит?!	здесь что происходить
Эй, подожди! Ты же ч е л о в е к! Ты хоть понимаешь, во что ввязываешься?!	эй подождать ты число е литр е к ты понимать ввязываться
Да, я обычный человек... но должно же быть что-то, что я могу сделать!	да обычный человек должный чтоть мочь сделать
Разуй глаза! Он лишь навредит тебе! Теперь-то ты з н а е ш ь!	разуть глаз он лишь навредить ты теперьто з наш е ш ь
Верданди!	верданди
Что происходит?	что происходить
Она не властна над своей мощью! Стоит ей окончательно обезуметь, и будет по-настоящему плохо!	она властный свой мощь стоить окончательно обезуметь понастоящий плохо
Верданди! Пожалуйста, вспомни! Ветер, который мы слушали вместе! Он никогда не был таким грустным!	верданди пожалуйста вспомнить ветер который слушать вместе он такой грустный
Морисато...	морисато
Я попала в беду и поэтому наглухо тебя з а т в о р и л а?	я попасть беда поэтому наглухо з том р литр а
Пожалуйста, поделись со мной своей печалью.	пожалуйста поделиться я свой печаль
И тогда, я поделюсь с тобой в с е м.	и тогда поделиться ты е метр
Давай вместе шагнем в будущее.	давать вместе шагнуть будущее
Из-за тебя...из-за тебя...!	изз тебяизз ты
ИДИОТ!!!	идиот
Верданди!	верданди
Морисато! Морисато... Морисато!	морисато морисато морисато
Сестра, Морисато... Морисато...!!!	сестра морисато морисато
Теперь боги зашевелятся.	теперь бог зашевелиться
И все закончится?	и закончиться
Нет. Все только начнется.	нет весь начаться
Он поправится.	он поправиться
Кейичи счастливчик, его хранят аж три богини.	кейй счастливчик хранить аж богиня
Сестра... Прости, что доставила столько хлопот.	сестра простить доставить столько хлопоты
Тебе тоже не мешало бы отдохнуть.	ты мешать отдохнуть
Извини... я прибегла к магии...	извинить прибегнуть магия
Ничего, Скульд... когда все окажется позади, давай вместе вернемся на небеса.	ничто скульда оказаться позади давать вместе вернуться небо
Я только навредила Морисато... Я ни на что не гожусь!	я навредить морисато я годиться
Кейичи... Я думаю, Кейичи предвидел такой поворот событий....	кейй я думать кейй предвидеть поворот событие
Все будет как в старые добрые времена, до того, как тебе отшибло память о Кейичи.	весь старое добрый время тот ты отшибить память кейй
После п р и ш е с т в и я на Землю, мы много повидали, многих повстречали... и Кейичи всегда был с тобой.	после плата р ш е том земля повидать многий повстречать кейй ты
Вы всегда лучились счастьем и радостно смеялись.	вы лучиться счастие радостно смеяться
Не сдавайся, Сестра.	не сдаваться сестра
Ты вспомнишь, и все вернется на круги своя! Обязательно!	ты вспомнить вернуться круг свой обязательно
Спасибо, Скульд.	спасибо скульда
Я приложу все силы... костьми лягу, но верну свое и с т и н н о е Я!	я приложить сила кость лечь вернуть свой том наш наш е я
Сестра!	сестра
Не беспокойся за нее. Чересчур увлеклась магией, потому и лежит пластом.	не беспокоиться нея чересчур увлечься магия лежать пласт
Это тебе.	это ты
Я, желавшая счастья в с е м...	я желать счастие е метр
Невольно вспоминается Селестин.	невольно вспоминаться селестина
Сейчас я... желаю...	сейчас я желать
Да, Кейичи? Это Хасегава...	да кейй это хасегава
Я нашла клапан для BMW, могу отдать хоть сейчас.	я найти клапан bmw мочь отдать сейчас
Да ну? Спасибо.	да ну спасибо
Знаешь, у нас тут временные сложности... мы еще вернемся к этому разговору.	знаешь временной сложность вернуться это разговор
Хм... надеюсь, потеря памяти, не ухудшит ваших отношений?	хм надеяться потеря память ухудшить ваш отношение
Конечно.	конечно
Морган! Кровь...	морган кровь
В чем дело?	в дело
Ты вроде цел и невредим.	ты вроде целый невредимый
Разумеется, но тебе нужно думать о с в о е м здоровье.	разумеется ты нужно думать е метр здоровье
Все в порядке.	весь порядок
Пошли в медпункт.	послать медпункт
Ты... ты беспокоишься обо мне?	ты беспокоиться о я
Быстрее! Сейчас не время для подобных разговоров!	быстрый сейчас время подобный разговор
[Ушел в университет. Kеичи.]	уйти университет kей
Скорей всего, ничего страшного. Можно было обойтись и без...	скорый всего страшный можно обойтись без
А это уже серьезно!	а это серьёзно
Извини...	извинить
У... у меня был человек, который мне н р а в и л с я.	у человек который наш р литр я
Но нас разлучили...	но разлучить
Когда я вижу вас в д в о е м, то чувствую себя немножко странно.	когда видеть далее е метр чувствовать немножко странно
То, чего я была лишена... любовь. А вы смогли полюбить друг друга?	то лишить любовь а смочь полюбить друг друг
Если смогли, то я никогда не прощу свою ошибку. Почему м ы не смогли?	если смочь простить ошибка почему метр ы смочь
Пытались, конечно. Но... я противилась.	пытаться конечно но противиться
Словно боялась стать соучастницей... почему? Ради чего??	словно бояться стать соучастница почему ради что
Я не знаю...	я знать
Морган...	морган
Если мир и з м е н и т с я, сможешь ли ты полюбить меня?	если мир з метр е наш том я смочь полюбить я
Дашь ли ты осуществиться моей мечте?	дать осуществиться мой мечта
Я не слишком хорошо понял, но... Похоже, жизнь тебя не щадила...	я слишком понять но похоже жизнь щадить
...надеюсь, ты не хочешь обжечься еще раз?	надеяться хотеть обжечься раз
В конце концов, Верданди уйдет к Селестину. И тогда ты останешься один-одинешенек.	в конец конец верданди уйти селестина и остаться одинодинёшенек
Что ты сказала?	что сказать
Мир скоро и з м е н и т с я.	мир скоро з метр е наш том я
Потому-то я и пришла. И... это н о в а я я.	потомуть пришлый и это наш я
Это ты украла воспоминания Верданди?!	это украсть воспоминание верданди
Морган...	морган
Погоди!!	погодить
Авария! Вирус размножается! Заражены сектора E и G! Барьер неминуемо опоздает!	авария вирус размножаться заразить сектор e g барьер неминуемо опоздать
Переключаемся на резервную систему!	переключаться резервный система
Прорвался!	прорваться
Пеорт! Отказало 20% систем Небес! Возможно, досталось и сети Земли.	пеорт отказать 20 система небо возможно достаться сеть земля
