cleaned_text	lemm_text
Начинается.	начинаться
Что я ищу? Хмм...	что искать хмм
Что я ищу?	что искать
Что я ищу?	что искать
Бутлеги...	бутлег
Гаечный ключ на 3/4 дюйма.	гаечный ключ 34 дюйм
Лучший кофе в городе.	хороший кофе город
Вайнону Райдер. Она мне так нравится.	вайнона райдер она нравиться
Ландшафтный дизайн?	ландшафтный дизайн
- Обувь. - Обувь.	обувь обувь
Смысл жизни, братан...	смысл жизнь братан
Я ищу идеальный подарок.	я искать идеальный подарок
Я ищу что-то смешное.	я искать чтоть смешной
Мир во всем мире.	мир весь мир
Я ищу вдохновение!	я искать вдохновение
Я ищу лекарство.	я искать лекарство
- Я ищу… - Я ищу...	я ищу… я искать
Я ищу...	я искать
Я ищу...	я искать
Я ищу...	я искать
Я ищу...	я искать
Чувак, интернет.	чувак интернет
- Интернет? - Интернет.	интернет интернет
Что, Бога ради, я буду искать в Интернете?	что бог ради быть искать интернет
Да, ты мог бы...	да мочь бы
найти в Интернете что угодно.	найти интернет угодный
<i>Что ты ищешь?</i>	iчто ищешьi
Ладно… это реклама.	ладно… это реклама
А реклама существует для продажи продуктов.	а реклама существовать продажа продукт
Но это не просто продукт. Нет.	но это просто продукт нет
Это новый способ связи.	это новый способ связь
Новый способ бытия.	новый способ бытие
Включай.	включать
Итак, это новый Comet, и он запускается сегодня вечером.	итак это новый comet запускаться сегодня вечером
Теперь мы не просто еще одна остановка	теперь просто один остановка
на пути людей к чему-то еще.	путь человек чемуть ещё
Мы - пункт назначения.	мы пункт назначение
Это результат совместных усилий каждого из находящихся здесь людей,	это результат совместный усилие каждый находиться человек
от наших незаурядных серферов	наш незаурядный серфер
до команды кодеров, возглавляемой Кэмерон Хоу.	команда кодер возглавлять кэмерон хоу
Хорошая работа, Кэм!	хороший работа кэм
Это последний день Кэмерон	это последний день кэмерон
теперь, когда работа над перезапуском завершена...	теперь работа перезапуск завершить
Успокойтесь. Мы все знали, что она с нами лишь временно.	успокоиться мы знать мы лишь временно
И еще один человек, о котором я хотел бы упомянуть.	и человек который хотеть упомянуть
Огромная часть души этого места, которой больше нет.	огромный часть душа место который нет
Но это семейный бизнес.	но это семейный бизнес
Comet начался с Хейли Кларк.	comet начаться хейль кларк
Ее отец и я встретились в 1983-м.	она отец встретиться 1983м
И я сказал ему: “Дело не в компьютерах.	и сказать он “деть компьютер
Дело в том, что они смогут нам дать”.	дело тот смочь мы дать”
И это...	и это
Отлично!	отлично
За дело!	за дело
Да, сделай...	да сделать
Думаю, мы сможем обсудить...	думать смочь обсудить
- У нас есть макеты. - Да, пять минут.	у макет да пять минута
Ты в порядке?	ты порядок
Да. Позже отпразднуем?	да поздний отпраздновать
Да. Какие планы?	да какой план
Просто… поужинать	просто… поужинать
и целоваться где-нибудь в припаркованной машине?	целоваться гденибыть припарковать машина
Немного штучек выше пояса и дим-самов.	немного штучка выше пояс димсам
Так я попрощаюсь с ребятами	так попрощаться ребята
и смогу позвонить Алексе?	смочь позвонить алекс
Конечно. Да.	конечно да
Дамы и господа,	дама господин
в настоящий момент производится посадка	настоящий момент производиться посадка
пассажиров на Pacific Flight 590,	пассажир pacific flight 590
следующий прямым рейсом в Бангкок.	следующий прямая рейс бангкок
О, я чуть не забыла. Погоди.	о забыть погодить
Вот.	вот
- Что это? - Дорожный органайзер.	что это дорожный органайзер
Я вложила небольшую карту Бангкока.	я вложить небольшой карта бангкок
Отделение для мелочи,	отделение мелочь
паспорта, дорожных чеков.	паспорт дорожный чековый
Мама, я это не возьму.	мама это взять
Почему?	почему
Потому что мне 18, а не 45.	потому 18 45
Я остановлюсь в хостеле.	я остановиться хостела
Если ты действительно хочешь, чтобы меня ограбили,	если действительно хотеть ограбить
я буду ходить с кошельком Louis Vuitton.	быть ходить кошелёк louis vuitton
Мама, это моя поездка.	мама это поездка
Я просто хочу, чтобы относилась ко мне, как к взрослой.	я просто хотеть относиться к я взрослый
Каковой я, между прочим, и являюсь.	каковой я прочить являться
Ты...	ты
Хорошо.	хорошо
Береги себя.	беречь себя
Ладно.	ладный
- Пока. - О, Боже мой!	пока о бог мой
Ключи от машины - на моем столе.	ключ машина мыть стол
Возьми мои старые водительские права, хорошо?	взять мой старое водительский право хорошо
На всякий случай.	на всякий случай
Там старая фотография, но...	там старый фотография но
копы поверят тебе, потому что ты милая девочка.	копа поверить ты милый девочка
На всякий случай надевай шляпу.	на всякий случай надевать шляпа
Да.	да
Дамы и господа,	дама господин
заканчивается посадка на	заканчиваться посадка
Cathay Pacific Flight 590…	cathay pacific flight 590…
- Ладно. - следующий прямым рейсом в Бангкок.	ладный следующий прямая рейс бангкок
Не уезжай.	не уезжать
Тебе необязательно ехать.	ты необязательно ехать
Я не знаю, зачем тебе делать это прямо сейчас.	я знать ты делать это прямо сейчас
Просто… просто останься.	просто… просто остаться
Что за чушь, мама.	что чушь мама
Идем, мама.	идти мама
Доктор жалуется своей жене,	доктор жаловаться свой жена
что она уже не так хороша в постели.	хороший постель
Ну, он идет на работу.	ну идти работа
И в полдень звонит ей по телефону.	и полдень звонить телефон
И телефон звонит, и звонит...	и телефон звонить звонить
И звонит, и звонит.	и звонить звонить
И, в конце концов, она снимает трубку. Она запыхалась.	и конец конец снимать трубка она запыхаться
И он говорит: “Какого черта	и говорить “какий черта
ты так долго не отвечала на звонок?”	долго отвечать звонок”
И она говорит...	и говорить
Что-то о втором мнении, так?	чтоть второе мнение так
Да. Точно.	да точно
Итак… стенд выглядит довольно хорошо.	итак… стенд выглядеть довольно хорошо
Да.	да
Есть ли одышка, боли в груди?	есть одышка боль грудь
Нет. Нет.	нет нет
Немного кружится голова, когда хорошенько сходишь по-большому.	немного кружиться голова хорошенько сходить побольшой
Знаете, я никогда вас не спрашивал… Левек...	знаете спрашивал… левек
Откуда, черт возьми, это имя?	откуда черта взять это имя
Левек? Это, эээ… шведский?	левек это эээ… шведский
Или… норвежский, или...	или… норвежский или
Чешский… Чехословацкий?	чешский… чехословацкий
Франко-канадский?	франкоканадский
Голландский.	голландский
Можете идти.	мочь идти
Что ж...	что ж
Ладно, но… ко...	ладный но… к
Когда мне вернуться?	когда вернуться
Никогда.	никогда
Что, даже на осмотр?	что осмотр
Имею в виду… вы не хотите удостовериться,	иметь виду… хотеть удостовериться
что у меня прокладку не пробило?	прокладка пробить
Нет.	нет
Если что-то пойдет не так - звоните.	если чтоть пойти звонить
Если нет - не звоните.	если звонить
Вы в добром здравии, Джон.	вы добром здравие джон
Если будете заботиться о себе,	если быть заботиться себя
доживете до 21 века.	дожить 21 век
До 21 века.	до 21 век
Сукин...	сукин
"Переведено специально для сообщества ""Безудержный свун по Ли Пейсу"""	перевести специально сообщество безудержный свун ли пейс
Переводчики: Tanya852, isamat, seredez.	переводчик tanya852 isamat seredez
Технический перевод: isamat, Flex Ferrum.	технический перевод isamat flex ferrum
Коррекция: ularula.	коррекция ularula
http://leepaceswoon.diary.ru https://vk.com/leepaceswoon	httpleepaceswoondiaryru httpsvkcomleepaceswoon
Итак, Марк Андриссен и Джим Кларк	итак марк андриссный джим кларк
вылетают в Урбана-Шампейн,	вылетать урбанашампейн
собирают всех кодеров Mosaic в пиццерии,	собирать кодер mosaic пиццерия
и предлагают зарплату в 65 тысяч,	предлагать зарплата 65 тысяча
недельный отпуск на его яхте на Таити,	недельный отпуск яхта таити
и 100,000 акций компании.	100000 акция компания
И Кларк сказал, что если они уйдут из NSCA	и кларк сказать уйти nsca
и придут к нему работать,	прийти он работать
менее чем через 5 лет они будут стоить 10 миллионов.	менее 5 год быть стоить 10 миллион
Итак, Джим Кларк крадет всех лучших кодеров	итак джим кларк красть хороший кодер
из дерьмовой компании, чтобы сделать нечто лучшее...	дерьмовый компания сделать нечто хороший
Почему это звучит знакомо?	почему это звучать знакомый
В общем, хочу сказать, все они последовали за ним	в общий хотеть сказать последовать
в Кремниевую долину создавать браузер,	кремниевый долина создавать браузер
и теперь Netscape вот-вот уничтожит Mosaic.	netscape вотвота уничтожить mosaic
Если бы мы внедрили Comet в Netscape,	если внедрить comet netscape
он бы чертовски тормозил, даже если бы загружался правильно.	чертовски тормозить загружаться правильно
А если бы он не загружался, то и Rover тоже, и прочие наши конкуренты.	а загружаться rover тоже прочий наш конкурент
Но если мы выясним,	но выяснить
как заставить Comet гладко работать на Netscape,	заставить comet гладко работать netscape
тогда все их пользователи будут стекаться к нам.	пользователь быть стекаться мы
Но эти парни создали Mosaic.	но парень создать mosaic
