cleaned_text	lemm_text
Что произошло?	происходить
Он...	...
встретил кого-то еще.	встречать кто-то
О, прости.	прощать
А ты… Ты....	… ....
В разводе?	развод
Я собирался сказать: “в порядке”, но...	собираться сказать : “ порядок ”,  ...
Да.	
Ну... да. Наверное.	... наверное
Так, вы развелись?	разводиться
Ну, почти.	
Подавать на развод в Японии - та еще попаболь.	подавать развод япония попаболить
Все эти формы нужно передать на почту	весь форма нужно передавать почта
и отправить в Техас.	отправлять техас
И это все как странный сон...	это странный сон ...
...быть женатыми, и Токио...	... женатый токио ...
Прости.	прощать
Ты хочешь это слышать?	хотеть это слышать
Я хочу слышать все, что ты хочешь мне рассказать.	хотеть слышать хотеть рассказывать
Чувствую себя идиоткой.	чувствовать идиотка
Ты не идиотка.	идиотка
Возможно, импульсивна.	возможно импульсивный
Брось, Джо.	бросать джо
Я тоже импульсивен, так что...	импульсивный ...
Ты… Ты останешься в Калифорнии?	… оставаться калифорния
Не знаю.	знать
Но из этого отеля мне надо выбраться.	отель выбираться
Душ отстойный, и я хочу принять ванну.	душ отстойный хотеть принимать ванна
В Японии я часто принимала ванны.	япония часто принимать ванна
Мне нравится хорошая ванна.	нравиться хороший ванна
Да.	
Значит, никаких подсказок по игре?	значит никакой подсказка игра
Нет. Ты должен понять это сам.	должный понимать это
Ох, но это так сложно.	ох это сложный
Сложно, пока ты это не выяснишь.	сложно пока это выяснять
И тогда станет не сложно.	становиться сложно
Кто это был?	это
Ты о ком?	
Ну, о женщине Тома...	женщина тома ...
О, это...	это ...
Это - лучшая часть. Я даже не спрашивала.	это хороший часть спрашивать
Поговори со мной. Расскажи что-нибудь.	поговорить рассказывать что-нибудь
Рассказать о чем?	рассказывать
Просто… Я не знаю… о чем угодно, о жизни на Земле.	просто … знать … угодно жизнь земля
Что я пропустила?	пропускать
Ну, что ты хочешь услышать?	хотеть услышать
- Джо, просто поговори со мной. - Ладно.	джо просто поговорить ладно
Ты знаешь, что Билл Клинтон - президент?	знать билл клинтон президент
Да. В Японии его любят.	япония любить
Все эти чизбургеры.	весь чизбургер
Так, что еще?	
Ковбои выиграли Суперкубок.	ковбой выигрывать суперкубок
Умерла Одри Хепберн. И Ривер Феникс - тоже.	умирать одри хепберн ривер феникс
Какие-то сумасшедшие пытались взорвать Всемирный торговый центр	какой-то сумасшедший пытаться взрывать всемирный торговый центр
и, эээ… ты можешь быть геем в армии,	эээ … мочь гей армия
но никто не может тебя об этом спросить,	никто мочь это спрашивать
а ты не можешь об этом говорить.	мочь это говорить
Ты знаешь, что IBM потеряла 5 миллиардов долларов?	знать ibm потерять 5 миллиард доллар
Они проверяют диванные подушки?	проверять диванный подушка
Знаешь, на какое-то время Гордон	знать какой-то время гордон
ударился в здоровый образ жизни.	ударяться здоровый образ жизнь
Устроил настоящий спортзал на дому.	устраивать настоящий спортзал дом
Например, у него есть Nordic Track	например nordic track
и что-то, называемое ButtMaster, так что...	что-то называть buttmaster ...
И вот что случилось со мной.	случаться
Я выходил из своей машины у Safeway	выходить свой машина safeway
и увидел, как размахивает руками женщина, просто...	увидеть размахивать рука женщина просто ...
На нее напал рой пчел.	нападывать рой пчела
ее жалили снова и снова, понимаешь?	жалить снова снова понимать
И она упала на землю.	упасть земля
И откуда ни возьмись - фургон с мороженым	откуда взяться фургон мороженое
прорывается с ревом через парковку,	прорываться рев парковка
и звучит музыка из The Sting [фильм 1973 г. с П.Ньюманом и Р.Редфордом].	звучать музыка the sting фильм 1973 г п ньюман р редфорд
И выходит парень… из фургона,	выходить парень … фургон
и он делает ей искусственное дыхание и массаж сердца,	делать искусственный дыхание массаж сердце
И из фургона продолжается доноситься звон фортепианной музыки,	фургон продолжаться доноситься звон фортепианный музыка
И она играет даже тогда, когда прибывает машина скорой помощи.	играть прибывать машина скорый помощь
И все, о чем я мог думать на протяжении нескольких дней -	мочь думать протяжение несколько день
те парамедики	парамедик
работали над ней как сумасшедшие, пока играла музыка,	работать сумасшедший пока играть музыка
и как это могло быть последним, что она когда-либо слышала.	это мочь последний когда-либо слышать
Кэмерон?	кэмерон
Эй, Кэм?	эй кэм
Я просто буду говорить,	просто говорить
потому что думаю, что ты...	думать ...
Думаю, ты все еще там.	думать
Ты там?	
Я здесь.	
"Переведено специально для сообщества ""Безудержный свун по Ли Пейсу"""	перевести специально сообщество безудержный свун пейс
Переводчики: Tanya852, isamat, seredez, Parasite God, Flex Ferrum.	переводчик tanya852 isamat seredez parasite god flex ferrum
Технический перевод: isamat, Flex Ferrum.	технический перевод isamat flex ferrum
Коррекция: ularula.	коррекция ularula
http://leepaceswoon.diary.ru https://vk.com/leepaceswoon	http :// leepaceswoon diary ru https :// vk com leepaceswoon
Алло?	але
Алло?	але
Алло?	але
О, привет!	привет
Привет.	привет
Я просто приготовил чай.	просто приготавливать чай
Ты хочешь знать,	хотеть знать
как будет твое имя по-гавайски?	твой имя по-гавайски
Да.	
Kamelonu.	kamelonu
Видишь ли, есть целый сайт, где ты...	видеть целый сайт ...
Ты не повесил трубку?	повесить трубка
Ну, да, я должен был сказать тебе, как мое имя по-гавайски.	должный сказать имя по-гавайски
Как?	
Просто Джо, но с Й вместо Дж.	просто джо й вместо дж
Й-о-у?	й
Я на самом деле думаю, что это “Ёу”.	самый дело думать это  “ ёу ”
Верно?	верно
Верно. Я не стану называть тебя “Ёу”.	верно становиться называть  “ ёу ”
Типичный ответ Kamelonu.	типичный ответ kamelonu
В Сан-Хосе так странно.	сан хосе странно
Ты знаешь, что он вообще-то больше Сан-Франциско?	знать вообще-то сан-франциско
Знаю, но он кажется намного меньше, ведь так?	знать казаться намного маленький
Кажется, я вижу аквапарк.	кажется видеть аквапарк
Я не катался на водных горках	кататься водный горка
с 12 лет.	12 год
Разве это не странно?	это странный
Наверное, ты уже побывал на своей последней горке.	наверное побывать свой последний горка
Ни в коем случае. Я всегда планировал выкупить аквапарк,	кой случай планировать выкупать аквапарк
жить там в одиночестве, по ночам кататься по желобам.	жить одиночество ночь кататься желоб
Да?	
Вот чем ты хотел заниматься, когда вырастешь?	хотеть заниматься вырастать
Честно говоря, мне кажется, я всегда был взрослым.	честно говорить казаться взрослый
Ну, спорим, ты был единственным младенцем	спорить единственный младенец
с точеным подбородком.	точеный подбородок
Нет, был еще один,	
но мы дрались насмерть.	драться насмерть
Что ты думаешь о Rover?	думать rover
Rover?	rover
Они… умные,	… умный
вертятся на копейках,	вертеться копейка
хорошая командная динамика.	хороший командный динамика
Да, но тебе не кажется, что иногда Эллиот и Вера	казаться эллиот вера
просто хотят убить друг друга?	просто хотеть убивать друг друг
Это потому, что они женаты.	это женатый
Да, это все объясняет.	это объяснять
Что ж…	…
ты должна знать, что	должный знать
каждый вечер по пути домой	каждый вечер путь домой
они будут говорить о тебе кучу нелицеприятного.	говорить куча нелицеприятный
Обо мне?	обо
Я поставила тебя главной над Rover.	поставлять главный rover
Ты вытащила их из лужи.	вытаскивать лужа
Ты уже много месяцев работаешь помощником.	месяц работать помощник
Ты готова.	готовый
Обустрой их в Инкубаторе сегодня,	обустраивать инкубатор сегодня
и начни искать мне нового ассистента.	начинать искать новый ассистент
Пока не найдем, будешь выполнять двойную нагрузку.	пока находить выполнять двойной нагрузка
Поздравляю.	поздравлять
Обычно в такие моменты представители человеческой расы	обычно момент представитель человеческий раса
выражают какой-то энтузиазм или…	выражать какой-то энтузиазм …
Спасибо.	спасибо
Кто сегодня побеждает?	сегодня побеждать
Хейли Кларк.	хейль кларк
Юная леди, скажите, что есть веская причина,	юный леди сказать веский причина
почему вы сейчас не на втором уроке.	почему второй урок
Значит он из Филадельфии.	значит филадельфия
Западная Филадельфия, да.	западный филадельфия
Но его мама очень перепугалась	мама очень перепугаться
из-за произошедшего на баскетбольной площадке,	из-за происходить баскетбольный площадка
так что она упаковала его вещи	упаковывать вещь
и… и перевезла его в Лос-Анджелес,	… перевозить лос-анджелес
и с тех пор он там и живет.	пора жить
Извини, но случай на площадке	извинять случай площадка
действительно был таким серьезным?	действительно серьезный
Я хочу сказать, чтобы отослать своего ребенка навсегда?	хотеть сказать отсылать свой ребенок навсегда
Кажется, были вовлечены банды.	кажется вовлекать банда
Да.	
- И на самом деле он не королевских кровей. - Нет.	самый дело королевский кровь
“Принца из Беверли- Хиллз” [ТВ-шоу 90-х] весьма уважали на улицах.	“ принц беверли хиллзать ” [ тв шоу 90 х весьма уважать улица
Японское ТВ - странное.	японский тв странный
Там столько игровых шоу,	столько игровой шоу
где тебя заставляют делать безумные вещи,	заставлять делать безумный вещь
типа… надеть костюм гигантского банана,	тип … надевать костюм гигантский банан
а затем тебя бросают в зоопарк	затем бросать зоопарк
