cleaned_text	lemm_text
Ранее в Готэме...	ранее готэма
- Барбара, мне нужно кое-что сделать. - Останешься ты, остаюсь я.	барбара нужно коечто сделать остаться ты оставаться я
Меня зовут Виктор Зсазс.	я звать виктор зсазс
Я пришёл за Джимом Гордоном. Все пошли вон.	я прийти джим гордон весь послать вон
Ни один коп в городе	ни копа город
тебе не поможет.	ты помочь
- Я тоже. - Я не уеду.	я тоже я уехать
- Ты не обязан идти со мной. - Да, я тоже дебил.	ты обязать идти я да дебил
Но решил примкнуть к хорошим парням.	но решить примкнуть хороший парень
Я ищу не девчушку.	я искать девчушка
Я ищу оружие.	я искать оружие
Простите.	простить
Хочешь начать войну из-за этого сопляка?	хотеть начать война изз сопляк
Этот парень забавный.	этот парень забавный
Зачем воевать по пустякам?	зачем воевать пустяк
Пусть остаётся.	пусть оставаться
Это наш подарок.	это наш подарок
О, Боже, помоги.	о бог помочь
Блин.	блин
Что за хреновое начало дня.	что хреновый начать день
Только постирал всё.	только постирать весь
Харви.	харви
Хэй.	хэй
Тело нашли патрульные.	тело найти патрульный
Бумажника, удостоверения, свидетелей—нет.	бумажник удостоверение свидетелей—нуть
Избили до смерти.	избить смерть
Посмотри на этот большой рубец	посмотреть большой рубец
прямо на шее.	прямо шея
Думаешь? А что это чёрное на нём?	думать а это чёрный он
Чернила? Краска?	чернила краска
Доброе утро, Эд.	добрый утро эда
Детектив.	детектив
Исходя из общего состояния,	исходить общий состояние
думаю, время смерти полночь. Но...	думать время смерть полночь но
лежит он здесь всего пару часов.	лежать пара часы
Крысы успели погрызть его ухо.	крыса успеть погрызть ухо
Подлые негодники.	подлый негодник
Значит не грабители.	значит грабитель
Грабители не переносят тело.	грабитель переносить тело
Ссадины на пальцах	ссадина палец
след от драки.	след драка
Точно. Посмотри на его подтяжки.	точно посмотреть подтяжка
Выглядит как какой-то бухгалтер.	выглядеть какойтый бухгалтер
Скорее запланированное похищение пошло не по плану.	скорее запланировать похищение пошло план
Сопротивлялся, ки-я!	сопротивляться кия
Хочешь поболтать с патрульными?	хотеть поболтать патрульный
Давай ты.	давать ты
Надо хотя бы	надо хотя
опросить местных бомжей поблизости.	опросить местный бомж поблизости
Лучше послать копов.	хороший послать коп
Сам расспрошу.	сам расспросить
Эй, Джо!	эй джо
Иди курить в другое место.	идти курить другой место
Да брось, Джим, на фига мы сюда их вызвали?	да бросить джим фига сюда вызвать
Пусть работают.	пусть работать
Как прекрасно справлюсь и я.	как прекрасно справиться я
Детективы,	детектив
займусь-ка я сканированием пальчиков.	займуська сканирование пальчик
Да, Эд, пройдись по ним.	да эда пройтись он
И по этому?	и это
Да, Эд, и по этому.	да эда это
Представляешь, это даже была не яхта.	представлять это яхта
А какая-то дешёвая лодка.	а какаять дешёвый лодка
Чем обязана?	чем обязать
Какая прелестная брошь.	какой прелестный брошь
Спасибо.	спасибо
Подарите.	подарить
Одна моя подруга бы оценила её.	один подруга оценить её
- Не поняла. - Ой.	не понять ой
Простите.	простить
Давай сюда брошку.	давать сюда брошка
Не стоило.	не стоить
Захотел сделать жест.	захотеть сделать жест
Надеюсь со временем	надеяться время
мы станем друзьями.	стать друг
Друзьями?	друг
Конечно.	конечно
Что же? Что было, то прошло.	что же что быть прошлый
Рад, что и ты рада.	рад рада
Дон Марони хочет	дон марони хотеть
уточнить обстоятельства.	уточнить обстоятельство
Всё остаётся по-прежнему.	весь оставаться попрежний
На Марони его наркотики и объединения.	на марони наркотик объединение
Оплата поставок из океана.	оплата поставка океан
А если понадобятся услуги копов	а понадобиться услуга коп
или мэра, пусть обсуждает это с Фальконе.	мэр пусть обсуждать это фалькон
И ещё, конечно же, кланы также делят Аркхэм.	и ещё же клан также делить аркхэма
И никакой кровной вражды между семьями.	и никакой кровный вражда семья
Ни капли крови.	ни капля кровь
Может, всего лишь каплю.	мочь лишь капля
Посмотрите-ка.	посмотритек
Тимоти,	тимоти
ты знал, что раньше этот хлыщ выполнял твою работу?	знать ранний хлыщ выполнять твой работа
Тоскал мой зонтик, думая, что это честь.	тоскал зонтик думать это честь
Ну а теперь.	ну теперь
Сидит за столом напротив.	сидеть стол напротив
Всё меняется.	весь меняться
Фортуна благословила.	фортуна благословить
Наверное пора развернуть твой подарок.	наверное пора развернуть твой подарок
Святые небеса.	святой небо
Как изящно.	как изящно
Как же мне	как
досадно.	досадный
У меня нет ничего взамен.	у взамен
Не надо.	не надо
Спасибо.	спасибо
Сладенький.	сладенький
Зря ты это сделала.	зря это сделать
Я приняла тебя как сына	я принять сын
и как брата семьи!	брат семья
А ты предал меня.	а предать я
За что уже пострадал.	за пострадать
Ещё нет.	ещё нет
Поручи убить какого-нибудь лопуха—	поручи убить какогонибудь лопуха—
толком он и не сдохнет.	толком сдохнуть
Твой босс, дон Фальконе,	твой босс дон фалькон
отчётливо сказал...	отчётливо сказать
Да, да, да, перемирие.	да да да перемирие
Именно поэтому твоя задница ещё шевелится.	именно поэтому твой задница ещё шевелиться
На твоём месте я бы	на твой место
молилась о его здравии.	молиться здравие
Я молюсь.	я молиться
Молюсь.	молиться
Хорошо.	хорошо
Ведь запомни,	ведь запомнить
всё меняется.	весь меняться
Передай моё почтение дону Фальконе.	передать мой почтение дон фалькон
Взаимно.	взаимно
Мир,	мир
дружок.	дружок
Выходите, мастер Брюс.	выходить мастер брюс
Хватит нам горевать.	хватить мы горевать
Это так необходимо?	это необходимый
Репетиторы тоже дают хорошие знания.	репетитор давать хороший знание
Можно посмотреть статистику.	можно посмотреть статистика
Лучше учиться среди детей вашего возраста.	хороший учиться среди ребёнок ваш возраст
Почему?	почему
Так нужно.	так нужно
Не очень убедительный ответ.	не очень убедительный ответ
Вы не соскучились по друзьям?	вы соскучиться друг
Честно, нет.	честно нет
Для меня они как-будто дети.	для какбудтый ребёнок
А кем же им ещё-то быть?	а кто ещётый быть
Детьми.	ребёнок
Вы же хотите быть	вы хотеть
таким как все?	такой весь
Не уверен.	не уверенный
"Что значит ""как все""? Дайте определение."	что значит как весь дать определение
Как все ходить в школу.	как ходить школа
А теперь—идите.	а теперь—идеть
Удачи, Брюс.	удача брюс
Сожалею о вашей потере, мэм.	сожалеть ваш потеря мэм
Вы знаете кого-нибудь,	вы знаете когонибудь
кто желал вреда вашему сыну Колману?	желать вред ваш сын колмана
Нет, сэр.	нет сэр
Никого.	никто
Он был хорошим мальчиком.	он хороший мальчик
Да, мэм. Это видно.	да мэм это видно
Ни одного ареста. Честный малый.	ни один арест честный малый
Чем он занимался в жизни?	чем заниматься жизнь
Работал в кофейне.	работать кофейня
Мы нашли его в костюме.	мы найти костюм
С подтяжками.	с подтяжка
Он искал работу бухгалтера.	он искать работа бухгалтер
Он мечтал об этом.	он мечтать это
Он первый у нас, кто поступил в колледж.	он один мы поступить колледж
Кто это мог, сэр?	кто это мочь сэр
Зачем?	зачем
Мы сделаем всё возможное, мэм.	мы сделать весь возможный мэм
Гордон уже утешает маму.	гордон утешать мама
Нет ничего, кроме отрубленного пальца.	нет ничто кроме отрубить палец
И ни один из городских ребят не видел ничего подозрительного.	и городской ребята видеть подозрительный
Думаешь, он пойдёт на чёрный рынок?	думать пойти чёрный рынок
Это следующее по списку.	это следующий список
Как там Гордон?	как гордон
Ещё злится.	ещё злиться
Что бы ты чувствовала, если все копы	что чувствовать копа
просто вышли из здания?	просто выйти здание
Теперь они относятся к нему,	теперь относиться он
как к язве в душе,	язва душа
глядя на него и	глядеть
вспоминая своё предательство.	вспоминать свой предательство
Прости, кэп, я...	простить кэп я
Это не про тебя.	это ты
Нет.	нет
Ты прав.	ты право
Но он это всё переживёт.	но это весь пережить
Не оставляй его одного.	не оставлять один
Ему с тобой повезло.	он ты повезти
Да.	да
Ах,	ах
как прелестно.	прелестно
Когда увидел,	когда увидеть
сразу подумал о маме.	сразу подумать мама
Какой добрый сынок.	какой добрый сынок
Надевай же, надевай.	надевать же надевать
Что с рукой?	что рука
Кто посмел?	кто посметь
Никто.	никто
Простая царапина.	простой царапина
Я похожа на глупую?	я похожий глупый
Нет. Кто-то	нет ктоть
ударил мою крошку. - Мам.	ударить мой крошка мама
Это жесткий бизнес.	это жёсткий бизнес
Ресторанный бизнес так жесток в наши дни?	ресторанный бизнес жестокий наш день
С чего это?	с это
Просто другие завидуют успеху.	просто другой завидовать успех
Расскажи своему боссу о них.	рассказать свой босс они
Эти люди не	этот человек
боятся моего босса.	бояться мой босс
Не похоже.	не похоже
Не знаю, почему.	не знать почему
Понимаю.	понимать
Когда я училась в школе,	когда учиться школа
Магда Химмелфлаб	магда химмелфлабнуть
так избивала меня,	избивать я
а учителя не замечали.	учитель замечать
Почему?	почему
Я была	я
самой великолепной танцовщицей.	самый великолепный танцовщица
А Магда	а магда
со своей шевелюрой	свой шевелюра
и огромными титьками	огромный титька
танцевала как корова.	танцевать корова
В смысле,	в смысл
почему учителя не замечали?	почему учитель замечать
А как ты думаешь?	а думать
"""Факультативы"", говорили они."	факультатив говорить они
Но я	но
остановила это.	остановить это
Всё рассказала?	весь рассказать
О, нет.	о нет
Я донесла на отца Магды	я донести отец магда
тайной полиции.	тайна полиция
Ура!	ура
3 недели он воротил	3 неделя воротить
свой крысиный нос от моих ловушек,	свой крысиный нос мой ловушка
а сегодня, против кусочка сыра	сегодня против кусочек сыр
Камемберт	камемберт
мистер Крыс	мистер крыса
не смог устоять.	смочь устоять
Да. О, как можно?	да о можно
Как можно, мой маленький	как можно маленький
прожорливый малыш?	прожорливый малыш
Я выманила твой секрет!	я выманить твой секрет
Да.	да
У всех есть секреты.	у секрет
Морфин!	морфин
Морфин!	морфин
Этому учат в мединститутах?	это учить мединститут
Буллок.	буллка
У тебя тут Кенни Сафьюлд?	у кенни сафьюлд
Громила и кутила.	громила кутила
А ещё поганый жеребец.	а ещё поганый жеребец
Кто стрелял?	кто стрелять
Не спрашивал.	не спрашивать
Мы с напарником обшарили весь ваш	мы напарник обшарить весь ваш
"чёрный рынок безделушек ""От Пилы"""	чёрный рынок безделушка от пила
и ищем парня,	искать парень
который с утра потерял	который утро потерять
большой пальчик. - Не видел.	большой пальчик не видеть
Ты скажи, если увидишь, док.	ты сказать увидеть док
Давай договоримся.	давать договориться
Твоя инфа и продолжай свой чёрное дело.	твой инф продолжать свой чёрный дело
Это шутка. Каламбур.	это шутка каламбур
Буллок, чёрная краска,	буллка чёрный краска
прямо как у жертвы.	прямо жертва
Ох, док.	ох док
Ладно.	ладный
Ушёл примерно в 3 часа ночи.	уйти примерно 3 час ночь
Имени не назвал.	имя назвать
Это выпало из кармана.	это выпасть карман
"""Инвестиции Сионис."""	инвестиция сионис
Опиши его.	описать он
Лет 20.	год 20
Костюм, подтяжки.	костюм подтяжка
Прям как наш мертвяк.	прям наш мертвяк
Не обижайся, док.	не обижаться док
Это Гордон. Нужна скорая	это гордон нужный скорый
как чёрному, так и белому. 1856, Уилтон.	чёрный белый 1856 уилтон
Стойте!	стоять
Да погоди же ты!	да погодить ты
Свяжите меня с Альварезом, ну же!	связать альварез же
Буллок, Буллок, какого чёрта, а?	буллка буллка какой чёрт а
У меня с ним сделка.	у сделка
- Сделка отменяется. - Я вам всё рассказал.	сделка отменяться я весь рассказать
Ага, после того, как солгал нам.	ага тот солгать мы
Он будет врать,	он врать
если давить на него.	давить он
- Да ты всех нас поимел. - Ах, да!	да поиметь ах да
И как оно? Понравилось?	и оно понравиться
Эй, стопэ, стопэ!	эй стопэ стопэ
Разберусь, отвалите.	разобраться отвалить
Никто из этих лживых ублюдков не подставил свою задницу,	никто этот лживый ублюдок подставить задница
а где был я?	я
Был с тобой, помнишь?	быть ты помнить
Фальконе, мэр, подохнуть в сиянии славы.	фалькон мэр подохнуть сияние слава
Будь любезен ради меня.	быть любезный ради я
- Я и так любезен. - Да ты баран!	я любезный да баран
Мы живы лишь потому, что Фальконе так захотел.	мы живой лишь потому фалькон захотеть
Иди наравне и огребайся наравне, Джим.	идти наравне огребаться наравне джим
- Больше не хочу. - Думаешь, поймать	большой хотеть думать поймать
какого-то доктора Дерьмо чем-то отличается?	какоготь доктор дерьмо чемтый отличаться
Я с тобой и доказал это.	я ты доказать это
Да, со мной.	да я
Поэтому прошу, пожалуйста,	поэтому просить пожалуйста
выпусти дока и завтра	выпустить док завтра
ты и я пойдём проверять	пойти проверять
"грёбанные ""Инвестиции Сионис"" вместе."	грёбанный инвестиция сионис вместе
Договорились, напарник?	договориться напарник
Мне жаль, Харв.	я жаль харв
Это не правильно, Харви.	это правильно харви
Альварез, засунь себе в жопу!	альвареза засунуть жопа
Джим!	джим
Барбара, что ты...	барбара ты
Услышала, кто-то идёт и не выходит	услышать ктоть идти выходить
на свет... - Где ты его нашла?	свет где найти
Ты задерживался!	ты задерживаться
Я волновалась.	я волноваться
- Господи. - Не лучшая идея,	господь не хороший идея
будучи пьяной, брать в руки оружие.	быть пьяный брать рука оружие
Прости.	простить
Слушай. Ты многое пережила.	слушай ты многий пережить
Но всё кончено.	но весь конченый
Я напугана, Джим.	я напугать джим
Куда бы не пошла, мне кажется	куда пошлый кажется
вот-вот появится этот монстр Зсазс	вотвота появиться монстр зсазс
и схватит меня. - Он вовсе не монстр.	схватить я он вовсе монстр
А простой мужик.	а простой мужик
И я ему этого не позволю.	и позволить
Как ты можешь давать обещание?	как мочь давать обещание
Скажи, всё будет хорошо.	сказать весь хорошо
Скажи, нас не будут преследовать такие монстры.	сказать быть преследовать такой монстр
Просто	просто
солги, если на то пошло.	солгать пошло
Не будет никаких монстров.	не никакой монстр
Когда вы нас отпустите?	когда отпустить
Зависит от вас.	зависеть вы
Доброе утро.	добрый утро
Привет.	привет
Думал, ты ещё спишь.	думать ещё спать
Прошлая ночь прошла на нервах.	прошлый ночь пройти нерв
Я перебрала со спиртным.	я перебрать спиртное
Я говорила, давай поделим трудности, и вот решилась.	я говорить давать поделить трудность решиться
Положи его на место.	положить место
Не хотел, чтобы так было.	не хотеть быть
Правда?	правда
Не обращай внимания, я вымоталась.	не обращать внимание вымотаться
Иди.	идти
Лови бандитов.	ловить бандит
Я пошёл.	я пойти
Отчёт судмедэкспертизы от Эдварда Нигмы.	отчёт судмедэкспертиза эдвард нигма
8:42 утра, участковый морг.	842 утро участковый морг
Температура держится на 19° по Цельсию.	температура держаться 19° цельсий
Я съел половинку клюквенного маффина,	я съесть половинка клюквенный маффин
а другую оставил на потом.	другой оставить потом
Что общего у мертвеца,	что общий мертвец
круизного лайнера и эму?	круизный лайнер эма
Верно, ничего.	верно ничто
А вот это интереснее.	а это интересный
Он что?!	он что
Нигма, сколько раз мне повторять?	нигма сколько повторять
Держись от сюда подальше.	держаться сюда далёкий
- Но я кое-что обнаружил. - Ты обнаружишь свою	но коечто обнаружить ты обнаружить
задницу на асфальте, если будешь приходить сюда.	задница асфальт быть приходить сюда
Вон.	вон
Имбецил.	имбецил
Неграмотный неуч.	неграмотный неуч
Привет, Брюс.	привет брюс
Привет.	привет
Брюси, как жизнь?	брюся жизнь
Томми, привет.	томми привет
Да в порядке, а ты?	да порядок ты
Знаешь, ужасно.	знаешь ужасно
Значит, твоих родителей убили, да?	значит твой родитель убить да
- Да. - И ты всё видел?	да и весь видеть
Кровь и всё остальное?	кровь весь остальной
Давай переведём разговор.	давать перевести разговор
Просто интересно.	просто интересно
Сам-то никогда не видел труп.	самтый видеть труп
А кишки?	а кишка
Лучше я пойду в класс.	хороший пойти класс
Прости, Святая мама, ибо я согрешила.	простить святой мама ибо согрешить
