cleaned_text	lemm_text
Это было просто кошмарно.	это просто кошмарно
Никогда не видел ничего подобного.	никогда видеть подобный
Фред, вы не можете исключить семилетнего ребенка за то,	фред мочь исключить семилетний ребёнок то
что он корчит рожи.	корчить рожа
Нужно, чтобы вы это сами увидели.	нужно это сам увидеть
Это не имеет значения.	это иметь значение
Я отвечаю за благополучие всех учеников.	я отвечать благополучие ученик
Ой, да перестаньте.	ой перестать
Хэрри, они все здесь.	хэрри здесь
Отлично.	отлично
Здравствуйте. Меня зовут Хэрри Корн, и я представляю интересы школы.	здравствовать я звать хэрри корн представлять интерес школа
Уверена, что с директором Виллингсом	уверить директор виллингс
вы знакомы.	знакомый
А ты, должно быть, Натали.	а ты должный быть натали
Здравствуйте.	здравствовать
Я так рада познакомиться с тобой, милая.	я рада познакомиться ты милый
Господи, ты просто очаровательна!	господь просто очаровательный
Сам факт, что мы собрались на эту встречу, отвратителен.	сам факт собраться встреча отвратительный
Адам?	адам
Чем могу помочь?	чем мочь помочь
Это я, Мэгс.	это я мэгс
Мэгги Бьюкенэн.	мэгга бьюкенэн
Мэгги?	мэгга
Привет!	привет
Вот это да, Мэгги, привет.	вот это да мэгга привет
Привет.	привет
Ты стал крутым адвокатом, да?	ты стать крутой адвокат да
Ну, я бы не сказал, что таким уж крутым.	ну сказать такой крутой
Господи, выглядишь великолепно.	господь выглядеть великолепно
Кэсси Рейнольдс. Мэгги Бьюкенэн.	кэсся рейнольдс мэгга бьюкенэн
Моя одноклассница.	мой одноклассница
Ещё одна.	ещё один
Адам, можно с тобой поговорить?	адам ты поговорить
Похоже, мне нужна помощь адвоката.	похоже нужный помощь адвокат
Да, конечно.	да конечно
И вот какой вопрос у меня возник. Если бы мы нашли подходящую	и вопрос возникнуть если найти подходящий
альтернативную школу, вы бы приняли...	альтернативный школа принять
Нет. Неудачная идея.	нет неудачный идея
Хорошо.	хорошо
Нет причины, по которой Натали не следует	нет причина который натали следовать
учиться в Мурпарке.	учиться мурпарка
Она не сделала ничего плохого.	она сделать плохой
Понятно.	понятно
И, кстати, Натали,	и кстати натали
если я выразилась иначе,	выразиться иначе
я прошу прощения, милая, потому что я слышала о тебе	просить прощение милый слышать ты
только хорошее.	хороший
Спасибо.	спасибо
Просто дело в том,	просто дело тот
что все остальные ученики боятся тебя, солнышко.	остальной ученик бояться ты солнышко
Перестань, Фред.	перестать фред
Могу я ответить на это?	мочь ответить это
Будучи директором, вы должны помнить о том, что школа является	быть директор должный помнить тот школа являться
первой встречей ребёнка с обществом.	один встреча ребёнок общество
И вашей целью должно быть	и ваш цель должный
воспитание терпимости в обществе.	воспитание терпимость общество
Мы придерживаемся политики безопасной школы и гордимся этим.	мы придерживаться политика безопасный школа гордиться это
И в этой безопасной школе...	и безопасный школа
Нулевая терпимость к нетерпимости!	нулевой терпимость нетерпимость
...изводятся ханжеством и предрассудками.	изводиться ханжество предрассудок
Тише, тише.	тиша тиша
Давайте просто переведём дыхание.	давать просто перевести дыхание
Невилл, может быть, сейчас	невилла быть
самое время для Натали выйти.	самый время натали выйти
Нет.	нет
Натали большая девочка. Отчасти потому,	натали большой девочка отчасти потому
что ей пришлось быстро повзрослеть.	прийтись быстро повзрослеть
Так что, что бы вы ни собирались сказать, можете говорить при ней.	так что собираться сказать мочь говорить она
Хорошо.	хорошо
Школьная система работает на большинство людей.	школьный система работать большинство человек
Это своего рода - один размер на всех,	это свой род размер весь
и они не подгоняют свои программы, чтобы подстроиться	подгонять свой программа подстроиться
под нужды одного особого ученика.	нужда один особый ученик
Моя дочь не инвалид, требующий особого отношения.	мой дочь инвалид требовать особый отношение
- Понятно. - Прошу прощения?	понятно просить прощение
Миссис Дрейк, чтобы одна ученица	миссис дрейк один ученица
настолько подрывала правила...	настолько подрывать правило
Она не подрывает!	она подрывать
- Дорогая... - У неё всего лишь небольшие отклонения.	дорогой у она лишь небольшой отклонение
Миссис Дрейк, я понимаю, что вы расстроены!	миссис дрейк понимать расстроить
Вот! Вот!	вот вот
Что я вам говорил?!	что говорить
С ней всё будет хорошо!	с весь хорошо
Дайте ей успокоиться!	дать успокоиться
Ужасно! Кошмар!	ужасно кошмар
- Всё, Фред! - Заткнитесь!	весь фред заткнуться
Дыши глубже.	дышать глубокий
Вот так...	вот так
Вот так.	вот так
<b>Harry's Law</b> s02e14 Les Horribles / На лицо ужасные... русские субтитры <b>TrueTransLate.tv</b>	bharrys lawb s02e14 les horribles на лицо ужасный русский субтитр btruetranslatetvb
Официально это называется конверсионным расстройством.	официально это называться конверсионный расстройство
Раньше это называли истерическим нервозом.	ранний это называть истерический нервоз
Из-за этого её глаза закатываются.	изз её глаз закатываться
А звук идёт из-за спазма в горле.	а звук идти изз спазм горло
Невилл,	невилла
ты же понимаешь,	понимать
почему это пугает других детей.	почему это пугать другой ребёнок
Но всё же не даёт оснований для её исключения, Хэрри.	но весь давать основание её исключение хэрри
Хэрри, извините.	хэрри извинить
Звонил Захари Квинн из Саммита.	звонить захаря квинна саммит
Похоже, он не в себе.	похоже себя
Захари.	захаря
Хорошо.	хорошо
Послушай, Хэрри, мы должны найти решение.	послушать хэрри должный найти решение
Мы оба хорошо понимаем,	мы оба понимать
что если мы отправимся в суд, твоему клиенту ничего не светит,	отправиться суд твой клиент светить
а мои...	мой
Меня беспокоит только то, что девочка	я беспокоить то девочка
будет травмирована этим.	травмировать это
Мы должны найти решение.	мы должный найти решение
Олли.	олли
Что?	что
Вручение награды лучшему юристу... ты пойдёшь?	вручение награда хороший юрист пойти
Если удастся отвертеться, то нет.	если удаться отвертеться нет
Послушай, я один из кандидатов на звание	послушать кандидат звание
Лучшего юриста 2011 года.	хороший юрист 2011 год
Кроме шуток? Ты?	кроме шутка ты
Какие, по-твоему, у меня шансы?	какой потвоему шанс
Скажи честно.	сказать честно
Хорошо.	хорошо
Никаких.	никакой
Я выбил деньги из сети фастфуда.	я выбить деньга сеть фастфуд
Никому этого не удавалось.	никто удаваться
"Я добился медали ""Пурпурное сердце"" для ветерана."	я добиться медаль пурпурный сердце ветеран
Я выступал в защиту экологически чистых похорон.	я выступать защита экологически чистый похороны
Это помогает окружающей среде.	это помогать окружающий среда
Томми.	томми
Мэгги, если нет никакой ошибки, тут сказано, что тебя уже	мэгга никакой ошибка сказать
признали виновной в преступлении, о котором мы говорим.	признать виновный преступление который говорить
Но это только потому, что обвинитель	но это потому обвинитель
и мой общественный защитник сказали, что ко мне будут снисходительны.	общественный защитник сказать к быть снисходительный
А теперь он сажает меня на три года.	а сажать год
Адам, я не выдержу три года в тюрьме.	адам выдержать год тюрьма
У тебя довольно длинный список приводов.	у довольно длинный список привод
Только за наркотики и проституцию,	только наркотик проституция
никто от этого не пострадал.	никто пострадать
О, нет.	о нет
Что такое?	что такой
Тебе достался Мальчиш-хорошиш.	ты достаться мальчишхорошиш
Прокурор обвинения - Аптон Крикшанк.	прокурор обвинение аптон крикшанк
"По прозвищу ""Мальчиш-хорошиш"", потому что он... он что-то вроде"	по прозвище мальчишхорошиш он чтоть вроде
полиции нравов.	полиция нрав
Это его цель.	это цель
Цель всей его жизни.	цель весь жизнь
Они ничего мне не объясняли.	они объяснять
Может, вам объяснили.	мочь объяснить
Они только сказали, что я ещё не готов,	они сказать ещё готовый
будто я пирожное в духовке,	пирожное духовка
что пока я должен оставаться здесь.	пока должный оставаться здесь
И во время твоих бесед с доктором,	и время твой беседа доктор
я так понимаю, вы говорили о твоей сестре.	понимать говорить твой сестра
Конечно, мы о ней говорили, Хэрри.	конечно говорить хэрри
Я ведь здесь только из-за этого.	я изз это
Ты всё ещё слышишь её, Зак?	ты весь ещё слышать её зак
Иногда.	иногда
Многим снятся родные, которых они потеряли.	многий сниться родные который потерять
Это не значит, что я сумасшедший.	это значит сумасшедший
И в твоих снах	и твой сон
она говорит тебе всё то же самое?	говорить ты весь самый
Она говорит тебе то же самое, Зак?	она говорить ты самый зак
Да.	да
Зак убеждён, что его старшую сестру	зак убедить старший сестра
убил её муж.	убить её муж
Потому что это так.	потому это так
Он никогда её не любил.	он её любить
Даже когда женился на ней.	даже жениться она
Она сказала ему, что уходит от него,	она сказать он уходить он
а спустя пять дней	спустя пять день
случается авария, в которой она погибает,	случается авария который погибать
а он волшебным образом выживает.	волшебный образ выживать
Ему достаётся в наследство дом, построенный и оплаченный ею,	он доставаться наследство дом построить оплатить она
и страховка её жизни	страховка её жизнь
на сумму в 700 тысяч.	сумма 700 тысяча
Это он её убил.	это её убить
Я это знаю!	я это знать
- Полиция расследовала это дело? - Нет.	полиция расследовать это дело нет
- Ну, они... - Они не расследовали!	ну они они расследовать
Авария была...	авария быть
авария была подстроена.	авария подстроить
"Человек, проехавший на знак ""стоп"","	человек проехать знак стоп
полностью признал свою ответственность.	полностью признать ответственность
Это не было подстроено.	это подстроить
У тебя опять эта навязчивая идея.	у этот навязчивый идея
Зак, ты принимаешь свои лекарства?	зак принимать свой лекарство
Я не отрицаю, что у меня бывают галлюцинации.	я отрицать бывать галлюцинация
Я только говорю,	я говорить
что это - не одна из моих галлюцинаций.	это один мой галлюцинация
Он убил её.	он убить её
Мы уже заключили соглашение.	мы заключить соглашение
Это соглашение предполагало поблажку.	это соглашение предполагать поблажка
И она её получила, мистер Бранч.	и её получить мистер бранч
Три года, это очень снисходительно,	три год это очень снисходительно
учитывая её нарушения закона	учитывать её нарушение закон
и все предыдущие приводы.	предыдущий привод
Дело в том,	дело тот
что она изо всех сил старается покончить с наркотиками,	из сила стараться покончить наркотик
и это пока удаётся,	это пока удаваться
в этом ей помогает программа, которую она посещает ежедневно.	помогать программа который посещать ежедневно
Если её отправят в тюрьму...	если её отправить тюрьма
в тюрьме ей не смогут оказывать	тюрьма смочь оказывать
адекватную помощь.	адекватный помощь
Три года - лучшее, что я могу предложить.	три год хороший мочь предложить
Мистер Крикшанк, пожалуйста.	мистер крикшанк пожалуйста
Я действительно очень стараюсь.	я действительно очень стараться
Три года - лучшее, что я могу предложить.	три год хороший мочь предложить
Вы думаете, что всё обо мне знаете,	вы думать весь о знаете
но это не так.	это так
Мэгги, перестань.	мэгга перестать
Вы даже не попытались понять меня.	вы попытаться понять я
И всё же вы отправляете меня	и весь отправлять
в тюрьму без единого сомнения.	тюрьма единый сомнение
Но я знаю вас, мисс Бьюкенэн.	но знать вы мисс бьюкенэн
- Вы разрушительница. - Довольно...	вы разрушительница довольно
Вы разрушаете браки и семьи.	вы разрушать брак семья
Мужья соглашаются	муж соглашаться
на ваше порочное предложение,	ваш порочный предложение
а страдают от этого	страдать
любящие жёны... и дети тоже.	любящий жена ребёнок тоже
Даже не думайте, что никто не пострадал от ваших преступлений.	даже думать никто пострадать ваш преступление
Три года - лучшее, что я могу предложить.	три год хороший мочь предложить
Подождите-ка.	подождитек
Вы хотите, чтобы я сходил к нему?	вы хотеть сходить он
Мистер Бэгли, Захари сейчас	мистер бэгнуть захаря
подвержен навязчивой идее.	подверженный навязчивый идея
Вы лучше других сможете	вы другой смочь
развеять её.	развеять её
Адвокат, он обвиняет меня	адвокат обвинять
в убийстве моей жены.	убийство мой жена
Если бы он был на свободе, он бы повсюду	если свобода повсюду
трубил об этом.	трубить это
Цель в том, чтоб он перестал так думать и говорить.	цель тот перестать думать говорить
И к тому же...	и тот же
Он не единственный,	он единственный
кто перенёс трагедию, мисс Корн.	перенести трагедия мисс корн
Я потерял жену, женщину, которую очень любил.	я потерять жена женщина который очень любить
Понимаю.	понимать
И любя её так сильно, как вы любили,	и любя её сильно любить
и, уверена, продолжаете любить...	и уверить продолжать любить
Вы должны знать, как важен был для неё её брат.	вы должный знать важный она её брат
Мистер Бэгли, она хотела бы, чтобы Захари выздоровел,	мистер бэгнуть хотеть бы захаря выздороветь
и если вы чем-то можете помочь в этом...	чемтый мочь помочь это
Я не могу.	я мочь
И если честно, я оскорблён.	и честно оскорбить
Вы заставили меня прийти сюда,	вы заставить прийти сюда
в эту забегаловку, чтобы потом	забегаловка
успешно выступить в защиту своего клиента, после чего,	успешно выступить защита свой клиент что
без всяких сомнений, потребовать плату за свои услуги	всякий сомнение потребовать плата свой услуга
по ставке 400 долларов в час?	ставка 400 доллар час
Вы выглядите недружелюбно.	вы выглядеть недружелюбно
- Я потерял свою жену, мисс Корн. - Да,	я потерять жена мисс корн да
вы об этом уже три раза сказали.	раз сказать
Вы пытаетесь меня в чём-то убедить?	вы пытаться чёмтый убедить
Это что ещё значит?	это ещё значит
Раз уж мы выкладываем карты на стол,	раз выкладывать карта стол
я нахожу вас очень неприятным типом.	находить очень неприятный тип
И, если честно, что ещё удивительно,	и честно ещё удивительно
это то, что хотя эта женщина оставила вам целое состояние,	это то хотя этот женщина оставить целое состояние
вы ни копейки не потратили,	копейка потратить
чтобы помочь человеку, которого она любила больше всех	помочь человек который любить
после вас.	вы
Захари болен, мистер Бэгли.	захаря больной мистер бэгнуть
Я ожидала от вас сочувствия.	я ожидать сочувствие
Но, может, вы считаете, что он вовсе не болен.	но мочь считать вовсе больной
Вы боитесь того, что он совершенно в здравом уме?	вы бояться тот совершенно здравый ум
В этом дело?	в дело
В смысле - вы считаете его виноватым в этом?	в смысл считать виноватый это
"Я сказала: ""может быть""."	я сказать мочь быть
У меня просто возникло такое же жуткое чувство,	у просто возникнуть такой жуткий чувство
как и у Зака... Я ему не доверяю.	зак я доверять
- Хэрри, да ладно. - Просто сделайте мне одолжение, хорошо?	хэрри ладный просто сделать одолжение хорошо
Выясните,	выяснить
какое проводилось расследование, если оно было вообще...	какой проводиться расследование оно вообще
Свяжитесь со страховой компанией	связаться страховой компания
и затребуйте их дело.	затребовать дело
Вы действительно предложили кандидатуру Томми на звание Лучшего юриста года?	вы действительно предложить кандидатура томми звание хороший юрист год
О, Боже.	о бог
Он меня умолял.	он умолять
Что мне оставалось делать?	что оставаться делать
Отказать ему?	отказать он
- Хэрри? - Фред.	хэрри фред
Пройдём в мой кабинет.	пройти кабинет
Кэсси.	кэсся
Да.	да
Подожди. Ты случайно не дружишь	подождать ты случайно дружить
с Мальчишом-хорошишом? - А что?	мальчишомхорошиш а что
У меня есть клиентка... проститутка, несколько приводов.	у клиентка проститутка несколько привод
Он пытается засадить её на три года.	он пытаться засадить её год
- Сколько приводов? - Два, три...	сколько привод два три
десять.	десять
Соглашайся на три года.	соглашаться год
При хорошем поведении выйдет через полтора.	при хороший поведение выйти полтора
В делах, затрагивающих мораль, с Мальчишом-хорошишом лучше не связываться.	в дело затрагивать мораль мальчишомхорошиш связываться
Адам.	адам
Меня номинировали на звание Лучшего юриста года.	я номинировать звание хороший юрист год
Чанхуа, мне нужно,	чанхуа нужно
чтобы ты немного преобразила Мэгги.	немного преобразить мэгга
- Можешь это сделать? - Преобразить?	мочь это сделать преобразить
У нас завтра суд.	у завтра суд
Мне нужно, чтобы она выглядела более представительно.. намного более.	я нужно выглядеть представительный намного более
Просто купи ей новое платье, может, немного косметики.	просто купить новое платье мочь немного косметика
Макияжа много не нужно, поскольку она...	макияж нужно поскольку она
Можешь это сделать?	мочь это сделать
И нельзя самого себя номинировать, букашка.	и самый номинировать букашка
Кто-то должен за тебя поручиться, что сделала Хэрри.	ктоть должный поручиться сделать хэрри
Умник.	умник
Букашка.	букашка
Может, они просто не хотят,	мочь просто хотеть
чтобы у тебя были завышенные надежды. - Дело не в этом.	завысить надежда дело это
Они меня не поддержали.	они поддержать
Проста сама идея, что я могу стать	простой сам идея мочь стать
Лучшим юристом года...	хороший юрист год
Им... было смешно от этого.	имя смешно это
Что ж...	что ж
только ты от меня этого не слышал.	слышать
Чего?	что
Что? Ты что-то знаешь. Что?	что ты чтоть знаешь что
Я знаю только...	я знать только
что глава комиссии - Карен Стиллворт.	глава комиссия карен стиллворт
И что? Что.	и что что
Ты должен дать слово,	ты должный дать слово
что никому не скажешь.	никто сказать
Не скажу.	не сказать
Не скажу.	не сказать
- Так что? - Оказывается,	так что оказываться
в этом году делают особый акцент на правах человека.	год делать особый акцент право человек
И то дело, которым ты занимался,	и дело который заниматься
защищая альбиносов,	защищать альбинос
привлекло их внимание.	привлечь внимание
Правда?	правда
К тому же они обожают, когда адвокат из Цинциннати	к тот обожать адвокат цинциннать
выступает против кого-угодно из Кливленда.	выступать против когоугодный кливленд
Хочешь сказать, я могу победить?	хотеть сказать мочь победить
Я не знаю, Томми.	я знать томми
У меня нет внутренней информации.	у внутренний информация
Но ты привлёк их внимание.	но привлечь внимание
И...	и
Карен - член общества борьбы за права животных.	карен член общество борьба право животное
Так что когда ты	так
отстаивал в суде права гориллы...	отстаивать суд право горилла
ты заработал много очков.	заработать очки
Хэрри.	хэрри
Ты не поверишь.	ты поверить
Эта авария... её вообще не расследовали.	этот авария её вообще расследовать
"Всё было ясно... человек проехал на знак ""стоп"","	весь ясно человек проехать знак стоп
"признал свою вину, других свидетелей не было... но есть одно ""но""..."	признать вина другой свидетель быть один но
не было следов торможения.	след торможение
Это необычно при столкновениях?	это необычно столкновение
Он врезался в бок автомобиля.	он врезаться бок автомобиль
Он должен был увидеть его	он должный увидеть
хотя бы в последнюю секунду.	хотя последний секунда
Возможно, у него не было времени среагировать, это не исключено,	возможно время среагировать это исключить
но обычно бывают следы торможения.	обычно бывать след торможение
Что ещё?	что ещё
Наш друг, Алан Бэгли,	наш друг алан бэгнуть
не только унаследовал дом	унаследовать дом
и получил страховку в 700 тысяч.	получить страховка 700 тысяча
Он подал в суд на другого водителя.	он подать суд другой водитель
Дело было урегулировано за 4.2 миллиона.	дело урегулировать 42 миллион
Понятно.	понятно
И вот здесь всё только становится интересным.	и весь становиться интересный
Другим водителем был	другой водитель
человек по имени Эдриан Террас...	человек имя эдриан терраса
сменил кучу работ на пол ставки, несколько столкновений с законом.	сменить куча работа половина ставка несколько столкновение закон
Спустя восемь месяцев после урегулирования дела	спустя восемь месяц урегулирование дело
его банковский счёт вдруг увеличивается	банковский счёт увеличиваться
на пол миллиона долларов.	половина миллион доллар
И мистер Террас окончил в 2003 году	и мистер терраса окончить 2003 год
Университет Индиана, в точности, как и Алан Бэгли.	университет индиана точность алан бэгнуть
Жертве делали вскрытие?	жертва делать вскрытие
Нет.	нет
Пожалуйста, не говори, что её кремировали.	пожалуйста говорить её кремировать
Покоится на Мемориальном кладбище в Коламбусе.	покоиться мемориальный кладбище коламбус
Каковы мои шансы на эксгумацию её тела?	каков мой шанс эксгумация её тело
При поддержке полиции, это возможно, без неё - не особенно.	при поддержка полиция это возможно она особенно
А что если прокурор выдаст ордер?	а прокурор выдать ордер
Это ускорит дело.	это ускорить дело
Хорошо, начинай звонить	хорошо начинать звонить
всем своим друзьям.	весь свой друг
Мы её выкопаем.	мы её выкопать
Подождите, подождите. У меня нет никаких друзей.	подождать подождать у никакой друг
Не говоря уже о том, что проституцию, возможно, следовало бы узаконить,	не говорить тот проституция возможно следовать узаконить
учитывая, что это могло бы спасти чью-то жизнь,	учитывать это мочь спасти чьюто жизнь
и позволило бы полиции и судам	позволить полиция суд
заниматься более серьёзными делами.	заниматься серьёзный дело
Да, не будем об этом говорить.	да быть говорить
Ваша честь, сделка о признании вины -	ваш честь сделка признание вина
это по сути контракт,	это суть контракт
соглашение между обвинением и защитой.	соглашение обвинение защита
Это договор, и чтобы он имел силу, стороны должны	это договор иметь сила сторона должный
одинаково понимать его смысл.	одинаково понимать смысл
Здесь этого не было.	здесь быть
Моя клиентка не соглашалась на сделку,	мой клиентка соглашаться сделка
предусматривающую для неё три года в тюрьме.	предусматривать она год тюрьма
Она просто...	она просто
Судья спрашивал её в суде:	судья спрашивать её суд
"""Вы согласны с этим?"""	вы согласный это
"И она ответила: ""Да""."	и ответить да
Это относилось к признанию вины,	это относиться признание вина
а не к приговору.	приговор
Ни на какой приговор согласия дано не было.	ни приговор согласие дать быть
Судья, я сделал предложение,	судья сделать предложение
как это делаете Вы и представитель защиты.	это делать вы представитель защита
"Там сказано: ""в обмен рассмотрение"	там сказать в обмен рассмотрение
"смягчения приговора"". Она и получила смягчённый приговор."	смягчение приговор она получить смягчённый приговор
Обвиняемую неоднократно привлекали,	обвинять неоднократно привлекать
как за проституцию,	проституция
так и за наркотики.	наркотик
Три года это более чем справедливо.	три год это справедливо
И позвольте мне сказать,	и позволить сказать
я сильно оскорблён предложением	сильно оскорбить предложение
легализовать проституцию.	легализовать проституция
Сделав это,	сделать это
мы пошлём сигнал, что в этом нет ничего плохого.	послать сигнал плохой
Это будет способствовать	это способствовать
торговле секс-рабынями,	торговля сексрабыня
развитию сети их доставки,	развитие сеть доставка
это будет происходить даже в школах, с нашими детьми.	это происходить школа наш ребёнок
Это просто неслыханно,	это просто неслыханно
