cleaned_text	lemm_text
ХОРОШИЙ ГОД	хороший год
Несколько сезонов сбора винограда назад	несколько сезон сбор виноград назад
- Макс?! - Ага?	макс ага
- Ну что, сдаешься? - Нет!	ну что сдаваться нет
Я подумал, раз уж сегодня - твой последний день здесь...	я подумать сегодня твой последний день здесь
...будет абсолютно уместно открыть что-нибудь исключительное.	быть абсолютно уместно открыть чтонибыть исключительный
"- ""Бандол"". - Блестящий выбор."	бандол блестящий выбор
"""Тэмпье Бандол"" 69-го года."	тэмпие бандол 69го год
Такое вино валит с ног даже самых крепких мужчин.	такой вино валита нога самый крепкий мужчина
Я однажды видел профессионального борца из Кастилии...	я однажды видеть профессиональный борец кастилия
...который после первого же бокала свалился на пол.	который первое бокал свалиться половина
Хотя, возможно, частично этому способствовало мое колено...	хотя возможно частично это способствовать мой колено
...удачно попавшее прямо ему в яички.	удачно попасть прямо яичко
- Так о чем я говорил? - Ты говорил о том...	так говорить ты говорить тот
...что никогда нельзя недооценивать роль хорошего синего костюма.	что недооценивать роль хороший синий костюм
Именно так.	именно так
Синий костюм - наиболее универсальный элемент гардероба.	синий костюм наиболее универсальный элемент гардероб
Но гораздо важнее костюма...	но гораздо важный костюм
...человек, который может подогнать его тебе по фигуре.	человек который подогнать ты фигура
Найдя хорошего портного...	найти хороший портной
...ты никому не должен называть его имя...	ты никто должный называть имя
...даже под угрозой нанесения тяжких телесных повреждений.	даже угроза нанесение тяжкий телесный повреждение
Итак, на чем мы остановились?	итак остановиться
- Чей сейчас ход? - Мой.	чей ход мой
Ага.	ага
Ага.	ага
Макс, я тебе никогда не говорил, почему я так люблю делать вино?	макс ты говорить почему любить делать вино
Вино делаешь не ты, дядя Генри, а этот Дюфло.	вино делать ты дядя генри дюфть
Во Франции вино всегда делает тот, кому принадлежит земля.	в франция вино делать тот кома принадлежать земля
Даже если на самом деле он лишь наблюдает за процессом в бинокль...	даже самый дело лишь наблюдать процесс бинокль
...сидя в тиши своего кабинета.	сидеть тиша свой кабинет
Нет, нет, я люблю делать вино...	нет нет любить делать вино
...потому что этот благородный нектар попросту неспособен лгать.	потому благородный нектар попросту неспособный лгать
Собраны гроздья слишком рано или слишком поздно - неважно.	собрать грозд слишком рано слишком поздно неважно
Каждый раз, когда ты соберешься сделать глоток...	каждый раз собраться сделать глотка
...вино прошепчет тебе всю правду...	вино прошептать ты правда
...откровенно и нисколько не смущаясь, прямо у тебя во рту.	откровенно нисколько смущаться прямо рот
Восхитительно.	восхитительно
Итак, Максимиллиан...	итак максимиллиана
...теперь, когда ты знаешь, за что я так люблю вино...	теперь знаешь любить вино
...ты ничего не хочешь мне сказать?	ты хотеть сказать
- Да, хочу. - Так, и что же?	да хотеть так же
Тебе мат.	ты мат
Ах ты, маленький засранец.	ах ты маленький засранец
Много сезонов сбора винограда спустя	много сезон сбор виноград спустя
- Доброе утро, лабораторные крысы. - Доброе утро, Макс.	добрый утро лабораторный крыса добрый утро макс
Сегодня мы попробуем зайти с другого бока.	сегодня попробовать зайти другой бок
Объявляю сегодняшний день Днем Ненасытного Хапуги.	объявлять сегодняшний день днём ненасытный хапуга
Тайна обогащения, лабораторные крысы...	тайна обогащение лабораторный крыса
...ничем не отличается от тайны хорошей шутки.	ничто отличаться тайна хорошеть шутка
И в том, и в другом случае главное - правильно выбрать момент.	и тот друг случай главный правильно выбрать момент
Текущая цена.	текущий цена
115 и 10, Макс. По мне, пора делать ход.	115 10 макс по я пора делать ход
Рано, Альф.	рано альф
Босс, почему вы все время называете меня Альфом?	босс почему время называть альф
Потому что ты Агрессивный Лизоблюд-Фарисей, Кенни.	потому агрессивный лизоблюдфарися кенни
А поскольку я твой босс и превосхожу тебя даже на генетическом уровне...	а поскольку твой босс превосходить генетический уровень
...то я вправе говорить тебе все, что пожелаю.	то вправе говорить ты весь пожелать
- Номер Макса Скиннера. - Это Кимберли. Макс на месте?	номер макс скиннера это кимбереть макс место
Да, одну секундочку.	да один секундочка
Это Кимберли.	это кимбереть
- Простите, Кимберли, Макса сейчас нет. - А где он?	простить кимбереть макс нет а он
Он с невестой дает торжественный обед в честь завтрашней свадьбы.	он невеста давать торжественный обед честь завтрашний свадьба
- В честь чего? - Хотите оставить ему сообщение?	в честь что хотеть оставить сообщение
- Нет, я не хочу оставлять сообщение!	нет хотеть оставлять сообщение
 Хорошо.	хорошо
 - Прекрасно, лабораторные крысы...	прекрасно лабораторный крыса
...и помните, мы пришли в этот бизнес не ради страховки стоматолога.	и помнить прислать бизнес ради страховка стоматолог
Разрыв - 50. Народ покупает. Макс?	разрыв 50 народ покупать макс
- Продаем. - Давай!	продавать давать
Сбрасывай все! Продавай!	сбрасывать весь продавать
Ты слышишь? Продавай все!	ты слышать продавать весь
Аарон, послушай меня! Я говорю, продавай!	аарон послушать я я говорить продавать
Можно! Не смотри сюда, твои бумаги торгуются там!	можно не смотреть сюда твой бумага торговаться там
Поганый мерзавец. Скиннер сбрасывает облигации.	поганый мерзавец скиннер сбрасывать облигация
Что? Он не может этого делать. На Бирже джентльменское соглашение.	что он делать на биржа джентльменский соглашение
Джентльменское соглашение предполагает...	джентльменский соглашение предполагать
...что его заключают с джентльменом.	что заключать джентльмен
Эмис, он выставил приказов на продажу на 5 миллиардов.	эмис выставить приказ продажа 5 миллиард
- Цены кубарем полетели вниз! - Так, народ, шевелите задницами!	цена кубарем полететь вниз так народ шевелить задница
Живо, не теряйте времени!	живо терять время
Продавайте!	продавать
После смерти тебя, наверняка, похоронят лицом вниз, Макс.	после смерть ты наверняка похоронить лицо вниз макс
Ты делаешь для этого все возможное.	ты делать возможный
Макс, они падают!	макс падать
Минус 3; 113,50.	минус 3 11350
- Продаем! Продаем! - Продолжают падать.	продавать продавать продолжать падать
- Покупаем. - Скупай обратно, твою мать, Микки!	покупать скупать обратно твой мать микки
Скупай обратно! Сейчас же скупай!	скупать обратно сейчас скупать
На все, скупай! И ничего не бойся!	на весь скупать и бояться
Скупай все, что есть!	скупать весь есть
Ты гений, Макс!	ты гений макс
Паршивый жучила. Он сбил цены.	паршивый жучить он сбить цена
И сейчас начнет все скупать по дешевке!	и начать скупать дешёвка
Покупаем! Покупаем! Сейчас же!	покупать покупать сейчас же
Начинаем скупать!	начинать скупать
И то, что он милый парень...	и то милый парень
...не может никто отрицать!	не никто отрицать
- О, я могу! - Я могу!	о мочь я мочь
Сегодня вы славно потрудились, лабораторные крысы.	сегодня славно потрудиться лабораторный крыса
Чудно потрудились. Общими усилиями мы заработали впечатляющую сумму.	чудный потрудиться общий усилие заработать впечатляющий сумма
Ура!	ура
Сегодня мы еще раз доказали...	сегодня доказать
...что жизнь на победе не заканчивается.	что жизнь победа заканчиваться
Но без победы жизни нет!	но победа жизнь нет
Она просто прелесть. Ну, ты-то знаешь.	она просто прелесть ну тыть знаешь
Странные вещи творились сегодня на рынке облигаций.	странный вещий твориться сегодня рынок облигация
"Цены упали до 112 с половиной после того, как компания ""Лоутон Бразерс""..."	цена упасть 112 половина тот компания лоутон бразерс
...выставила приказов на продажу на 3 миллиарда долларов.	выставить приказ продажа 3 миллиард доллар
Затем компания сделала нечто невероятное...	затем компания сделать нечто невероятный
...и снова купила те же облигации...	и снова купить тот облигация
...но уже по значительно более низкой цене...	но значительно низка цена
...заработав в процессе более 77 миллионов долларов.	заработать процесс 77 миллион доллар
Сразу же раздались протесты и обвинения в нечистой игре...	сразу раздаться протест обвинение нечистый игра
...а также призывы провести расследование.	а также призыв провести расследование
- Строго говоря, никаких нарушений... - Доброе утро, мистер Скиннер.	строго говорить никакой нарушение добрый утро мистер скиннер
- Доброе утро, Берт. - И мои поздравления.	добрый утро берт и мой поздравление
- Спасибо. - Хоть бы намекнули, мистер Скиннер.	спасибо хоть намекнуть мистер скиннер
Я тебе сейчас намекну, Берт.	я ты намекнуть берт
Никогда не гладь горящую собаку.	никогда гладь гореть собака
Умник.	умник
О, Генри. Тысяча чертей.	о генри тысяча чёрт
Вы готовы к чтению почты своих фанатов?	вы готовый чтение почта свой фанат
Давай, солнышко.	давать солнышко
"""Сволочь""."	сволочь
"""Сволочь""."	сволочь
"- ""Чтоб ты в аду горел"". - Так."	чтоб аду горелый так
"- ""Чтоб ты в аду гнил"". - О! Восхитительно."	чтоб аду гнилой о восхитительно
"- ""Умри"". - Очаровательно."	умереть очаровательно
"- Макси?! - ""Поздравляю, ты мой герой""."	макси поздравлять герой
- А это кто прислал? - Ваш адвокат.	а это прислать ваш адвокат
- Ясно. - Макси?! Послушай...	ясно макси послушать
...я только что говорила с Озэ.	я говорить озэ
Она нотариус, занимается поместьем твоего дядюшки Генри.	она нотариус заниматься поместье твой дядюшка генри
Это она прислала мне письмо?	это прислать письмо
Да.	да
Ну, так вот, судя по всему, твой дядя Генри...	ну вот судить весь твой дядя генри
...по меньшей мере, последние 20 лет завещанием не занимался.	по меньший мера последний 20 год завещание заниматься
"Поэтому, как это принято у ""лягушатников""..."	поэтому это принять лягушатник
...они и протянули больше месяца, прежде чем сообщить нам.	они протянуть месяц прежде сообщить мы
Так. И что нам теперь делать?	так и мы делать
Они устроят официальное чтение имеющегося завещания...	они устроить официальный чтение иметься завещание
...или мы просто загрузим его через Интернет? Что дальше?	или просто загрузить интернет что далёкий
Нет... В этом все и дело, Макс.	нет в дело макс
Прости?	простить
По сути, юридически действующего завещания не существует.	по суть юридически действующий завещание существовать
- Правда? - Ты его ближайший родственник...	правда ты ближний родственник
