cleaned_text	lemm_text
-Товар наш.	товар наш
Канал наш. Какие предъявы, Дато?	канал наш предъява дато
-А маршрут-то наш.	маршрут наш
Хочешь - меняй.	хотеть менять
Не хочешь - 10% с оборота.	хотеть 10 оборот
-Восемь.	восемь
-Договорились.	договариваться
Теперь прошу попить-покушать.	просить попить покушать
Извини за вопрос, но всё равно спрошу.	извинять вопрос равный спрашивать
Тебе ведь ещё лет 17 чалиться, ёлочки валить?	год 17 чалиться елочка валить
А ты вот под нашим солнышком кайфуешь.	наш солнышко кайфовать
-Написал прокурору:	написать прокурор
"""Честное слово, больше не буду""."	честный слово
Поверил.	поверять
-Твоё здоровье!	твой здоровье
ТРЕВОЖНАЯ МУЗЫКА	тревожный музыка
ВЫСТРЕЛ	выстрел
ВЫСТРЕЛЫ	выстрел
ВЫСТРЕЛ	выстрел
НАПРЯЖЁННАЯ МУЗЫКА	напряженный музыка
МУЗЫКАЛЬНОЕ ВСТУПЛЕНИЕ	музыкальный вступление
-Алла Петровна, что случилось? Здрасте!	алла петровна случаться здрасте
-Отравил-таки этот нелюдь моего Ёршика.	отравлять таки нелюдить ершик
Да ведь его муж ещё на стройке щеночком маленьким подобрал.	муж стройка щеночек маленький подбирать
Вот, похоронила на пустыре.	похоронить пустырь
А знаете, Серёжа, Ёршик был последней ниточной,	знать сережа ершик последний ниточный
которая меня с мужем связывала.	который муж связывать
Почему он это сделал?	почему это сделать
-Вы сами ответили.	отвечать
Потому что нелюдь.	нелюдить
Вы держитесь.	держаться
Ладно, я разберусь.	ладно разбираться
ЗВОНОК В ДВЕРЬ	звонок дверь
СТУК В ДВЕРЬ	стук дверь
Здорово! -Чего надо, мент?	здорово мент
-За пивком собрался. Тебе сколько брать?	пивко собираться сколько брать
-А, ну понятно.	понятно
Отбарабанила уже старуха, да?	отбарабанить старуха
А теперь объясни мне,	объяснять
почему только она Варламову на опохмел не даёт?	почему варламов опохмел давать
А Варламов человек честный.	варламов человек честный
Всем всегда долги отдаёт.	долг отдавать
-Потому что ты - чмо! Понял, Варламов?	чмо понимать варламов
То, что ты сделал... для таких, как ты, статья в УК нарисована.	сделать ... статья ук нарисовать
-А ты докажи! -Не буду. Просто приду завтра	доказывать просто прийти завтра
и на 8 лет тебя закрою.	8 год закрывать
-Это за что?	это
-За килограмм героина в твоих трусах.	килограмм героин твой трусы
Так что ходи и бойся. Понял?	ходить бояться понимать
УДАР	удар
-Здравствуйте. -Здрасте.	здравствовать здрасте
ТЕЛЕФОННЫЙ ЗВОНОК	телефонный звонок
-Только не говори, гражданин начальник, что звонишь первым	говорить гражданин начальник звонить первый
поздравить своего единственного заместителя с днём рождения.	поздравлять свой единственный заместитель день рождение
-Серёга, с днём рождения! -Спасибо, родной.	серега день рождение спасибо родной
-Из Бутырки звонили.	бутырки звонить
Сухонин с чистухой на допрос просится.	сухонин чистуха допрос проситься
Давай прям сейчас в Бутырку и потом в отдел.	давать прямой бутырка отдел
-Совесть имей. Я с ночного приехал.	совесть иметь ночной приезжать
Дай хотя бы пару часов поспать. -На пенсии поспишь.	давать хотя пара час поспать пенсия поспать
-А с чистухой железнее будет. -Понял тебя.	чистуха железный понимать
Кофейку попью и рвану.	кофеек попить рвануть
Да, я не напоминаю, но сегодня в 20:00 жду тебя на днюхе. Помнишь?	напоминать сегодня 20 00 ждать днюха помнить
-Зачем тогда напомнил?	напоминать
Всё. Давай двигай в неволю. -Пока.	давать двигать неволя пока
Ой, а чьи же это ручки-то, ой, а чьи же это плечики, а чьи же это ножки?	ой чей это ручка ой чей это плечики чей это ножка
-Папа!	папа
-Алён, ты с ума сошла?	ален ум сходить
-Прости. С днём рождения тебя! -Спасибо, котёнок, спасибо.	прощать день рождение спасибо котенок спасибо
-Я тебя очень люблю, а подарок будет вечером.	очень любить подарок вечер
-Договорились.	договариваться
-Слушайте, родители, а вы можете написать классной,	слушать родитель мочь написать классный
что я сегодня не приду, что у меня, там, температура?	сегодня прийти температура
-Так, стоять. Ты кто? Ну-ка, быстро отвечай, кто ты такая есть.	стоять ну-ка быстро отвечать
-Здравствуйте, меня зовут Алёна Чернова.	здравствовать звать алена чернов
Ну, я дочь самого честного в мире мента.	дочь самый честный мир мент
"-Без ""ну"". Дочь самого честного в мире мента. Что я вижу?"	дочь самый честный мир мент видеть
Принуждает жену самого честного мента и самого честного мента	принуждать жена самый честный мент самый честный мент
